Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
252;2024-11-03;08:42;albion-park;R11;10;GODDESS OF WAR;
253;2024-11-03;08:57;albion-park;R12;1;SOUNDS LUCKY;79
254;2024-11-03;08:57;albion-park;R12;2;WEBLEC WHISTLER;99
255;2024-11-03;08:57;albion-park;R12;3;CHARLIE'S FLYER;83
256;2024-11-03;08:57;albion-park;R12;4;ULTRA HANNAH;91
257;2024-11-03;08:57;albion-park;R12;5;YOU KNOW BETTER;87
258;2024-11-03;08:57;albion-park;R12;6;LATE FOR SCHOOL;100
259;2024-11-03;08:57;albion-park;R12;7;SHARI'S ANGEL;85
260;2024-11-03;08:57;albion-park;R12;8;AEROBIC ICE AGE;78
261;2024-11-03;08:57;albion-park;R12;9;NOEL'S GEM;
262;2024-11-03;04:30;angle-park;R1;1;CHRISTOPHER;92
263;2024-11-03;04:30;angle-park;R1;2;TECTONIC;100
264;2024-11-03;04:30;angle-park;R1;3;VACANT BOX;
265;2024-11-03;04:30;angle-park;R1;4;ANDY ROSE;84
266;2024-11-03;04:30;angle-park;R1;5;TOORA GRACIE;83
267;2024-11-03;04:30;angle-park;R1;6;VACANT BOX;
268;2024-11-03;04:30;angle-park;R1;7;BUNDABERG GUM;93
269;2024-11-03;04:30;angle-park;R1;8;ROAD LESS TRAVEL;78
270;2024-11-03;04:55;angle-park;R2;1;OUR UNLEASHED;94
271;2024-11-03;04:55;angle-park;R2;2;OUR BELLA ROSE;98
272;2024-11-03;04:55;angle-park;R2;3;VACANT BOX;
273;2024-11-03;04:55;angle-park;R2;4;SHEA'S ENTITY;100
274;2024-11-03;04:55;angle-park;R2;5;EAST OF NOME;85
275;2024-11-03;04:55;angle-park;R2;6;VACANT BOX;
276;2024-11-03;04:55;angle-park;R2;7;LONG GULLY TED;88
277;2024-11-03;04:55;angle-park;R2;8;OUR CHASER;83
278;2024-11-03;05:13;angle-park;R3;1;SLIM RUSTY;100
279;2024-11-03;05:13;angle-park;R3;2;COMPTON MINNIE;75
280;2024-11-03;05:13;angle-park;R3;3;VACANT BOX;
281;2024-11-03;05:13;angle-park;R3;4;HAYRIDE GULDEN;82
